I J r0 k
38 39 12.6 10.0
38 40 12.6 10.0
38 41 12.6 10.0
38 42 12.6 10.0
16 17 12.6 10.0
16 28 12.6 10.0
16 41 12.6 10.0
28 29 12.6 10.0
28 30 12.6 10.0
28 41 12.6 10.0
41 42 12.6 10.0
10 16 11.1 10.0
10 17 11.1 10.0
10 38 11.1 10.0
10 40 11.1 10.0
10 41 11.1 10.0
17 24 12.6 10.0
17 40 12.6 10.0
3 28 11.1 10.0
3 30 11.1 10.0
3 32 11.1 10.0
3 41 11.1 10.0
3 42 11.1 10.0
30 31 12.6 10.0
30 32 12.6 10.0
31 32 12.6 10.0
31 36 12.6 10.0
8 14 11.1 10.0
8 15 11.1 10.0
8 16 11.1 10.0
8 28 11.1 10.0
8 29 11.1 10.0
29 30 12.6 10.0
29 37 12.6 10.0
15 16 12.6 10.0
15 17 12.6 10.0
5 13 11.1 10.0
5 15 11.1 10.0
5 17 11.1 10.0
5 23 11.1 10.0
5 24 11.1 10.0
13 14 12.6 10.0
13 15 12.6 10.0
13 23 12.6 10.0
13 33 12.6 10.0
9 13 11.1 10.0
9 14 11.1 10.0
9 33 11.1 10.0
9 35 11.1 10.0
9 37 11.1 10.0
14 15 12.6 10.0
14 29 12.6 10.0
14 37 12.6 10.0
32 42 12.6 10.0
36 37 12.6 10.0
2 29 11.1 10.0
2 30 11.1 10.0
2 31 11.1 10.0
2 36 11.1 10.0
2 37 11.1 10.0
39 40 12.6 10.0
11 21 11.1 10.0
11 22 11.1 10.0
11 38 11.1 10.0
11 39 11.1 10.0
11 42 11.1 10.0
22 32 12.6 10.0
22 42 12.6 10.0
21 22 12.6 10.0
21 26 12.6 10.0
21 39 12.6 10.0
24 25 12.6 10.0
24 40 12.6 10.0
25 26 12.6 10.0
25 27 12.6 10.0
26 27 12.6 10.0
26 39 12.6 10.0
4 24 11.1 10.0
4 25 11.1 10.0
4 26 11.1 10.0
4 39 11.1 10.0
4 40 11.1 10.0
20 27 12.6 10.0
20 34 12.6 10.0
7 18 11.1 10.0
7 19 11.1 10.0
7 22 11.1 10.0
7 31 11.1 10.0
7 32 11.1 10.0
18 19 12.6 10.0
18 20 12.6 10.0
18 21 12.6 10.0
18 22 12.6 10.0
6 18 11.1 10.0
6 20 11.1 10.0
6 21 11.1 10.0
6 26 11.1 10.0
6 27 11.1 10.0
33 34 12.6 10.0
33 35 12.6 10.0
1 23 11.1 10.0
1 25 11.1 10.0
1 27 11.1 10.0
1 33 11.1 10.0
1 34 11.1 10.0
23 24 12.6 10.0
23 25 12.6 10.0
23 33 12.6 10.0
35 36 12.6 10.0
35 37 12.6 10.0
12 19 11.1 10.0
12 20 11.1 10.0
12 34 11.1 10.0
12 35 11.1 10.0
12 36 11.1 10.0
34 35 12.6 10.0
27 34 12.6 10.0
19 20 12.6 10.0
19 31 12.6 10.0
19 36 12.6 10.0
